pregunta,respuesta1,respuesta2,respuesta3,respuesta correcta
¿Cuál es el nombre del personaje principal de la serie Los Simpson?,Bart Simpson,Lisa Simpson,Maggie Simpson,Homer Simpson
¿En qué año se emitió por primera vez la serie Los Simpson?,1990,1988,1991,1989
¿Qué programa argentino es conocido por combinar humor y política?,VideoMatch,Tiempo Nuevo,Telenoche,Caiga Quien Caiga
¿Cuál es el nombre del conductor histórico del programa Showmatch?,Guido Kaczka,Jorge Rial,Luis Majul,Marcelo Tinelli
¿Qué serie argentina popularizó la frase 'Vos sos el uno'?,Okupas,Los Simuladores,Casados con Hijos,Grande Pá
¿Quién es el conductor del programa de televisión argentino Gran Hermano?,Marcelo Tinelli,Jorge Rial,Santiago del Moro,Mirtha Legrand
¿Qué canal argentino emite regularmente el programa Almorzando con Mirtha Legrand?,Telefe,América TV,Canal 9,El Trece
¿Qué famosa serie argentina trata sobre la vida de un grupo de amigos en la década de 1990?,Chiquititas,Verano del 98,Los Roldán,Amigos son los Amigos
¿Cuál es el nombre de la productora de contenido de Cris Morena?,Pol-ka,Ideas del Sur,Underground,Cris Morena Group
¿Cómo se llama la empresa ficticia que utilizan Los Simuladores como fachada?,Consultora Santos y Asociados,Grupo Alma,Integridad Empresarial,Grupo Links